Fold,dataset,instance,ScratchNoBC_R16,UCBOnly,XPrePPO_Frozen,XPrePPO_Online_R16,delta,family,contrast,metric,Budget
1,Brandimarte,Mk04.fjs,0.9254864763473991,0.9087059167907989,0.9511220660944404,0.9346747992368876,0.025968882446088637,primary_g100,online_minus_ucb_g100,HV_fixed,100
1,Brandimarte,Mk10.fjs,0.7861516690899393,0.8236033045927079,0.7818754748256209,0.7818754748256209,-0.041727829767087,primary_g100,online_minus_ucb_g100,HV_fixed,100
1,Hurink_edata,la05.fjs,1.1348222782255526,1.1295929376394522,1.0486386618953494,1.0547794568580724,-0.07481348078137984,primary_g100,online_minus_ucb_g100,HV_fixed,100
1,Hurink_edata,la10.fjs,0.9790249433994269,0.9889637786361607,0.8992217821950823,0.9305478915515071,-0.05841588708465362,primary_g100,online_minus_ucb_g100,HV_fixed,100
1,Hurink_edata,la15.fjs,1.0768762585354903,1.0772907742433395,1.0144643024307722,1.0144643024307722,-0.06282647181256729,primary_g100,online_minus_ucb_g100,HV_fixed,100
1,Hurink_edata,la16.fjs,1.1067478412624496,1.1189414332830174,1.0095558009638088,1.0095558009638088,-0.10938563231920861,primary_g100,online_minus_ucb_g100,HV_fixed,100
1,Hurink_edata,la24.fjs,1.0927822707987527,1.1478926021452311,1.0315197491042127,1.0364354041852468,-0.11145719795998432,primary_g100,online_minus_ucb_g100,HV_fixed,100
1,Hurink_edata,la26.fjs,1.162460038471763,1.165498441681752,1.0941741662681377,1.0941741662681377,-0.0713242754136143,primary_g100,online_minus_ucb_g100,HV_fixed,100
1,Hurink_edata,la34.fjs,0.9612249170639813,0.9946229663037907,0.9718090843314013,0.9718090843314013,-0.022813881972389316,primary_g100,online_minus_ucb_g100,HV_fixed,100
1,Hurink_edata,la37.fjs,1.0369886065687552,1.0647579682806545,0.9670266584625429,0.9539529356383383,-0.11080503264231623,primary_g100,online_minus_ucb_g100,HV_fixed,100
2,Brandimarte,Mk02.fjs,1.0001211460812893,0.994793374475561,0.979014726058089,0.9788367523009628,-0.015956622174598256,primary_g100,online_minus_ucb_g100,HV_fixed,100
2,Brandimarte,Mk03.fjs,0.9193127904081844,0.9126456936417624,1.024268956397789,1.02381281650888,0.11116712286711761,primary_g100,online_minus_ucb_g100,HV_fixed,100
2,Hurink_edata,la03.fjs,1.1519722197843834,1.144206327552789,1.0383626762961975,1.0383626762961975,-0.10584365125659145,primary_g100,online_minus_ucb_g100,HV_fixed,100
2,Hurink_edata,la07.fjs,1.194497932137777,1.1867213471927665,1.1200748917037981,1.1200748917037981,-0.0666464554889683,primary_g100,online_minus_ucb_g100,HV_fixed,100
2,Hurink_edata,la13.fjs,1.1059583987050745,1.0922823309842635,1.0111521198486346,1.0111521198486346,-0.0811302111356289,primary_g100,online_minus_ucb_g100,HV_fixed,100
2,Hurink_edata,la19.fjs,1.0820937778392699,1.0716234056896072,0.9946922494336683,0.9946922494336683,-0.07693115625593894,primary_g100,online_minus_ucb_g100,HV_fixed,100
2,Hurink_edata,la23.fjs,1.170776473305398,1.1777180107730523,1.061358794728949,1.061358794728949,-0.11635921604410338,primary_g100,online_minus_ucb_g100,HV_fixed,100
2,Hurink_edata,la27.fjs,0.9550805010851406,0.9330302219491307,0.775479193605517,0.7763315567230238,-0.15669866522610687,primary_g100,online_minus_ucb_g100,HV_fixed,100
2,Hurink_edata,la31.fjs,1.0379106461367706,1.0352962138467987,0.904499448254225,0.904499448254225,-0.1307967655925737,primary_g100,online_minus_ucb_g100,HV_fixed,100
2,Hurink_edata,la36.fjs,1.1169903705475113,1.1166702174044945,0.958367593050185,0.958367593050185,-0.15830262435430942,primary_g100,online_minus_ucb_g100,HV_fixed,100
3,Brandimarte,Mk06.fjs,0.8305589087253735,0.8356417493585069,0.9061687750386804,0.9097018493817322,0.07406010002322527,primary_g100,online_minus_ucb_g100,HV_fixed,100
3,Brandimarte,Mk07.fjs,1.1065823751210035,1.1043003953250148,1.1128605862798358,1.116720668584755,0.012420273259740267,primary_g100,online_minus_ucb_g100,HV_fixed,100
3,Hurink_edata,la04.fjs,1.0772241821317843,1.079370304779069,0.9553716435952888,0.9553716435952888,-0.12399866118378022,primary_g100,online_minus_ucb_g100,HV_fixed,100
3,Hurink_edata,la09.fjs,1.1502018876500553,1.148428664022442,1.0322456858734288,1.033415542799454,-0.1150131212229879,primary_g100,online_minus_ucb_g100,HV_fixed,100
3,Hurink_edata,la12.fjs,1.171544173402157,1.1731057917371288,1.1014410837737607,1.1013180424089968,-0.07178774932813203,primary_g100,online_minus_ucb_g100,HV_fixed,100
3,Hurink_edata,la17.fjs,1.1362932207817247,1.1293356269146702,1.0269745140491726,1.0334963959249293,-0.0958392309897409,primary_g100,online_minus_ucb_g100,HV_fixed,100
3,Hurink_edata,la25.fjs,0.943170469808549,0.9710639526319277,0.8705381804462142,0.8827568613493032,-0.08830709128262448,primary_g100,online_minus_ucb_g100,HV_fixed,100
3,Hurink_edata,la28.fjs,0.9417781408119974,0.9710780262384247,0.8532867318301575,0.8532867318301575,-0.11779129440826719,primary_g100,online_minus_ucb_g100,HV_fixed,100
3,Hurink_edata,la35.fjs,0.9927137587015056,0.9667393528775139,0.8886041994973148,0.8763912294789669,-0.09034812339854703,primary_g100,online_minus_ucb_g100,HV_fixed,100
3,Hurink_edata,la39.fjs,1.0695985420372964,1.0873743554083402,0.9687514719182013,0.9697226815827286,-0.11765167382561159,primary_g100,online_minus_ucb_g100,HV_fixed,100
4,Brandimarte,Mk01.fjs,0.9460723372107689,0.968202575808867,0.9626648462345374,0.9626648462345374,-0.005537729574329631,primary_g100,online_minus_ucb_g100,HV_fixed,100
4,Brandimarte,Mk08.fjs,1.0700553084950437,1.0226494337641172,0.9107335620142064,0.9213775787865197,-0.1012718549775975,primary_g100,online_minus_ucb_g100,HV_fixed,100
4,Hurink_edata,la01.fjs,1.103429538491056,1.0984086620959754,0.9392514521660186,0.9292997270102143,-0.16910893508576108,primary_g100,online_minus_ucb_g100,HV_fixed,100
4,Hurink_edata,la06.fjs,1.2410483558305816,1.2443120470731257,1.1593524508195423,1.1562489937708234,-0.08806305330230235,primary_g100,online_minus_ucb_g100,HV_fixed,100
4,Hurink_edata,la11.fjs,1.1299292450813017,1.1350029534277735,1.019503991452524,1.0258831449862114,-0.1091198084415621,primary_g100,online_minus_ucb_g100,HV_fixed,100
4,Hurink_edata,la18.fjs,1.101108101735862,1.0902343521180342,1.0021821829369413,0.9984591894831777,-0.09177516263485652,primary_g100,online_minus_ucb_g100,HV_fixed,100
4,Hurink_edata,la22.fjs,0.9456281453569175,0.9706295046281814,0.8915890692413546,0.90625886608666,-0.06437063854152147,primary_g100,online_minus_ucb_g100,HV_fixed,100
4,Hurink_edata,la29.fjs,0.839656210993977,0.9088512216407327,0.6755417193547882,0.6843592453353486,-0.2244919763053841,primary_g100,online_minus_ucb_g100,HV_fixed,100
4,Hurink_edata,la32.fjs,1.004806157389826,1.08054338784381,0.873972036454048,0.8668963809289956,-0.21364700691481442,primary_g100,online_minus_ucb_g100,HV_fixed,100
4,Hurink_edata,la40.fjs,1.178215356000847,1.2054084513765657,1.0768083006965505,1.0751445491747313,-0.13026390220183437,primary_g100,online_minus_ucb_g100,HV_fixed,100
5,Brandimarte,Mk05.fjs,0.9469992637588098,0.9907271256106549,1.001498893860512,1.0021913245882064,0.011464198977551465,primary_g100,online_minus_ucb_g100,HV_fixed,100
5,Brandimarte,Mk09.fjs,0.9811259894886675,0.9653490100834042,1.0509562052332027,1.0487556130838676,0.08340660300046332,primary_g100,online_minus_ucb_g100,HV_fixed,100
5,Hurink_edata,la02.fjs,1.051830760377045,1.0504967846302835,0.9921462564544381,0.9816888429966912,-0.06880794163359227,primary_g100,online_minus_ucb_g100,HV_fixed,100
5,Hurink_edata,la08.fjs,1.2040193264124532,1.2128986426954098,1.14934144496787,1.14934144496787,-0.06355719772753976,primary_g100,online_minus_ucb_g100,HV_fixed,100
5,Hurink_edata,la14.fjs,1.1002237894220341,1.0932323450329242,1.0507098294457777,1.0507098294457777,-0.04252251558714648,primary_g100,online_minus_ucb_g100,HV_fixed,100
5,Hurink_edata,la20.fjs,1.112461978720731,1.1033070124645474,1.0139214461806874,1.0139214461806874,-0.08938556628386007,primary_g100,online_minus_ucb_g100,HV_fixed,100
5,Hurink_edata,la21.fjs,0.9362432606549902,0.9797481049956012,0.8903830495780379,0.8903829888563,-0.0893651161393012,primary_g100,online_minus_ucb_g100,HV_fixed,100
5,Hurink_edata,la30.fjs,0.9269815088201991,1.0099199545426618,0.8164202631544321,0.8137169393924304,-0.19620301515023142,primary_g100,online_minus_ucb_g100,HV_fixed,100
5,Hurink_edata,la33.fjs,1.0306546283316542,1.023382222274421,0.9499036125723861,0.9499036125723861,-0.07347860970203501,primary_g100,online_minus_ucb_g100,HV_fixed,100
5,Hurink_edata,la38.fjs,1.0937120273886785,1.0781256377032045,0.9874049212700673,0.9874049212700673,-0.09072071643313717,primary_g100,online_minus_ucb_g100,HV_fixed,100
1,Brandimarte,Mk04.fjs,0.9254864763473991,0.9087059167907989,0.9511220660944404,0.9346747992368876,0.009188322889488454,primary_g100,online_minus_scratch_g100,HV_fixed,100
1,Brandimarte,Mk10.fjs,0.7861516690899393,0.8236033045927079,0.7818754748256209,0.7818754748256209,-0.004276194264318356,primary_g100,online_minus_scratch_g100,HV_fixed,100
1,Hurink_edata,la05.fjs,1.1348222782255526,1.1295929376394522,1.0486386618953494,1.0547794568580724,-0.0800428213674802,primary_g100,online_minus_scratch_g100,HV_fixed,100
1,Hurink_edata,la10.fjs,0.9790249433994269,0.9889637786361607,0.8992217821950823,0.9305478915515071,-0.04847705184791984,primary_g100,online_minus_scratch_g100,HV_fixed,100
1,Hurink_edata,la15.fjs,1.0768762585354903,1.0772907742433395,1.0144643024307722,1.0144643024307722,-0.06241195610471806,primary_g100,online_minus_scratch_g100,HV_fixed,100
1,Hurink_edata,la16.fjs,1.1067478412624496,1.1189414332830174,1.0095558009638088,1.0095558009638088,-0.09719204029864081,primary_g100,online_minus_scratch_g100,HV_fixed,100
1,Hurink_edata,la24.fjs,1.0927822707987527,1.1478926021452311,1.0315197491042127,1.0364354041852468,-0.05634686661350585,primary_g100,online_minus_scratch_g100,HV_fixed,100
1,Hurink_edata,la26.fjs,1.162460038471763,1.165498441681752,1.0941741662681377,1.0941741662681377,-0.06828587220362525,primary_g100,online_minus_scratch_g100,HV_fixed,100
1,Hurink_edata,la34.fjs,0.9612249170639813,0.9946229663037907,0.9718090843314013,0.9718090843314013,0.010584167267420064,primary_g100,online_minus_scratch_g100,HV_fixed,100
1,Hurink_edata,la37.fjs,1.0369886065687552,1.0647579682806545,0.9670266584625429,0.9539529356383383,-0.08303567093041697,primary_g100,online_minus_scratch_g100,HV_fixed,100
2,Brandimarte,Mk02.fjs,1.0001211460812893,0.994793374475561,0.979014726058089,0.9788367523009628,-0.021284393780326538,primary_g100,online_minus_scratch_g100,HV_fixed,100
2,Brandimarte,Mk03.fjs,0.9193127904081844,0.9126456936417624,1.024268956397789,1.02381281650888,0.10450002610069564,primary_g100,online_minus_scratch_g100,HV_fixed,100
2,Hurink_edata,la03.fjs,1.1519722197843834,1.144206327552789,1.0383626762961975,1.0383626762961975,-0.11360954348818586,primary_g100,online_minus_scratch_g100,HV_fixed,100
2,Hurink_edata,la07.fjs,1.194497932137777,1.1867213471927665,1.1200748917037981,1.1200748917037981,-0.07442304043397896,primary_g100,online_minus_scratch_g100,HV_fixed,100
2,Hurink_edata,la13.fjs,1.1059583987050745,1.0922823309842635,1.0111521198486346,1.0111521198486346,-0.09480627885643989,primary_g100,online_minus_scratch_g100,HV_fixed,100
2,Hurink_edata,la19.fjs,1.0820937778392699,1.0716234056896072,0.9946922494336683,0.9946922494336683,-0.08740152840560156,primary_g100,online_minus_scratch_g100,HV_fixed,100
2,Hurink_edata,la23.fjs,1.170776473305398,1.1777180107730523,1.061358794728949,1.061358794728949,-0.10941767857644913,primary_g100,online_minus_scratch_g100,HV_fixed,100
2,Hurink_edata,la27.fjs,0.9550805010851406,0.9330302219491307,0.775479193605517,0.7763315567230238,-0.17874894436211686,primary_g100,online_minus_scratch_g100,HV_fixed,100
2,Hurink_edata,la31.fjs,1.0379106461367706,1.0352962138467987,0.904499448254225,0.904499448254225,-0.13341119788254563,primary_g100,online_minus_scratch_g100,HV_fixed,100
2,Hurink_edata,la36.fjs,1.1169903705475113,1.1166702174044945,0.958367593050185,0.958367593050185,-0.15862277749732623,primary_g100,online_minus_scratch_g100,HV_fixed,100
3,Brandimarte,Mk06.fjs,0.8305589087253735,0.8356417493585069,0.9061687750386804,0.9097018493817322,0.07914294065635863,primary_g100,online_minus_scratch_g100,HV_fixed,100
3,Brandimarte,Mk07.fjs,1.1065823751210035,1.1043003953250148,1.1128605862798358,1.116720668584755,0.010138293463751502,primary_g100,online_minus_scratch_g100,HV_fixed,100
3,Hurink_edata,la04.fjs,1.0772241821317843,1.079370304779069,0.9553716435952888,0.9553716435952888,-0.12185253853649547,primary_g100,online_minus_scratch_g100,HV_fixed,100
3,Hurink_edata,la09.fjs,1.1502018876500553,1.148428664022442,1.0322456858734288,1.033415542799454,-0.11678634485060124,primary_g100,online_minus_scratch_g100,HV_fixed,100
3,Hurink_edata,la12.fjs,1.171544173402157,1.1731057917371288,1.1014410837737607,1.1013180424089968,-0.07022613099316022,primary_g100,online_minus_scratch_g100,HV_fixed,100
3,Hurink_edata,la17.fjs,1.1362932207817247,1.1293356269146702,1.0269745140491726,1.0334963959249293,-0.10279682485679542,primary_g100,online_minus_scratch_g100,HV_fixed,100
3,Hurink_edata,la25.fjs,0.943170469808549,0.9710639526319277,0.8705381804462142,0.8827568613493032,-0.060413608459245816,primary_g100,online_minus_scratch_g100,HV_fixed,100
3,Hurink_edata,la28.fjs,0.9417781408119974,0.9710780262384247,0.8532867318301575,0.8532867318301575,-0.08849140898183994,primary_g100,online_minus_scratch_g100,HV_fixed,100
3,Hurink_edata,la35.fjs,0.9927137587015056,0.9667393528775139,0.8886041994973148,0.8763912294789669,-0.11632252922253872,primary_g100,online_minus_scratch_g100,HV_fixed,100
3,Hurink_edata,la39.fjs,1.0695985420372964,1.0873743554083402,0.9687514719182013,0.9697226815827286,-0.09987586045456787,primary_g100,online_minus_scratch_g100,HV_fixed,100
4,Brandimarte,Mk01.fjs,0.9460723372107689,0.968202575808867,0.9626648462345374,0.9626648462345374,0.01659250902376852,primary_g100,online_minus_scratch_g100,HV_fixed,100
4,Brandimarte,Mk08.fjs,1.0700553084950437,1.0226494337641172,0.9107335620142064,0.9213775787865197,-0.148677729708524,primary_g100,online_minus_scratch_g100,HV_fixed,100
4,Hurink_edata,la01.fjs,1.103429538491056,1.0984086620959754,0.9392514521660186,0.9292997270102143,-0.1741298114808416,primary_g100,online_minus_scratch_g100,HV_fixed,100
4,Hurink_edata,la06.fjs,1.2410483558305816,1.2443120470731257,1.1593524508195423,1.1562489937708234,-0.08479936205975824,primary_g100,online_minus_scratch_g100,HV_fixed,100
4,Hurink_edata,la11.fjs,1.1299292450813017,1.1350029534277735,1.019503991452524,1.0258831449862114,-0.1040461000950903,primary_g100,online_minus_scratch_g100,HV_fixed,100
4,Hurink_edata,la18.fjs,1.101108101735862,1.0902343521180342,1.0021821829369413,0.9984591894831777,-0.10264891225268424,primary_g100,online_minus_scratch_g100,HV_fixed,100
4,Hurink_edata,la22.fjs,0.9456281453569175,0.9706295046281814,0.8915890692413546,0.90625886608666,-0.03936927927025757,primary_g100,online_minus_scratch_g100,HV_fixed,100
4,Hurink_edata,la29.fjs,0.839656210993977,0.9088512216407327,0.6755417193547882,0.6843592453353486,-0.15529696565862838,primary_g100,online_minus_scratch_g100,HV_fixed,100
4,Hurink_edata,la32.fjs,1.004806157389826,1.08054338784381,0.873972036454048,0.8668963809289956,-0.13790977646083036,primary_g100,online_minus_scratch_g100,HV_fixed,100
4,Hurink_edata,la40.fjs,1.178215356000847,1.2054084513765657,1.0768083006965505,1.0751445491747313,-0.10307080682611569,primary_g100,online_minus_scratch_g100,HV_fixed,100
5,Brandimarte,Mk05.fjs,0.9469992637588098,0.9907271256106549,1.001498893860512,1.0021913245882064,0.05519206082939654,primary_g100,online_minus_scratch_g100,HV_fixed,100
5,Brandimarte,Mk09.fjs,0.9811259894886675,0.9653490100834042,1.0509562052332027,1.0487556130838676,0.06762962359520008,primary_g100,online_minus_scratch_g100,HV_fixed,100
5,Hurink_edata,la02.fjs,1.051830760377045,1.0504967846302835,0.9921462564544381,0.9816888429966912,-0.07014191738035369,primary_g100,online_minus_scratch_g100,HV_fixed,100
5,Hurink_edata,la08.fjs,1.2040193264124532,1.2128986426954098,1.14934144496787,1.14934144496787,-0.05467788144458319,primary_g100,online_minus_scratch_g100,HV_fixed,100
5,Hurink_edata,la14.fjs,1.1002237894220341,1.0932323450329242,1.0507098294457777,1.0507098294457777,-0.049513959976256405,primary_g100,online_minus_scratch_g100,HV_fixed,100
5,Hurink_edata,la20.fjs,1.112461978720731,1.1033070124645474,1.0139214461806874,1.0139214461806874,-0.09854053254004369,primary_g100,online_minus_scratch_g100,HV_fixed,100
5,Hurink_edata,la21.fjs,0.9362432606549902,0.9797481049956012,0.8903830495780379,0.8903829888563,-0.04586027179869023,primary_g100,online_minus_scratch_g100,HV_fixed,100
5,Hurink_edata,la30.fjs,0.9269815088201991,1.0099199545426618,0.8164202631544321,0.8137169393924304,-0.11326456942776875,primary_g100,online_minus_scratch_g100,HV_fixed,100
5,Hurink_edata,la33.fjs,1.0306546283316542,1.023382222274421,0.9499036125723861,0.9499036125723861,-0.08075101575926813,primary_g100,online_minus_scratch_g100,HV_fixed,100
5,Hurink_edata,la38.fjs,1.0937120273886785,1.0781256377032045,0.9874049212700673,0.9874049212700673,-0.10630710611861116,primary_g100,online_minus_scratch_g100,HV_fixed,100
1,Brandimarte,Mk04.fjs,0.9840124826228397,0.992892251582514,1.0369496275167946,1.0369496275167946,0.04405737593428061,secondary_g50_g200,online_minus_ucb_g50,HV_fixed,50
1,Brandimarte,Mk10.fjs,1.0043218004039496,1.022673544346023,1.0314837523609732,1.0314837523609732,0.008810208014950138,secondary_g50_g200,online_minus_ucb_g50,HV_fixed,50
1,Hurink_edata,la05.fjs,1.130600082728633,1.135948370758752,1.099940772381597,1.099940772381597,-0.03600759837715506,secondary_g50_g200,online_minus_ucb_g50,HV_fixed,50
1,Hurink_edata,la10.fjs,0.8589895946885708,0.8656049824304148,0.843577336050588,0.843577336050588,-0.022027646379826793,secondary_g50_g200,online_minus_ucb_g50,HV_fixed,50
1,Hurink_edata,la15.fjs,1.0650241732139134,1.0327093680462958,0.9932810850717847,0.9932810850717847,-0.039428282974511064,secondary_g50_g200,online_minus_ucb_g50,HV_fixed,50
1,Hurink_edata,la16.fjs,1.034619352090203,1.0347879854278474,0.9475454091141349,0.9475454091141349,-0.08724257631371257,secondary_g50_g200,online_minus_ucb_g50,HV_fixed,50
1,Hurink_edata,la24.fjs,1.139313098050402,1.1318076005019755,1.08878724433296,1.08878724433296,-0.04302035616901545,secondary_g50_g200,online_minus_ucb_g50,HV_fixed,50
1,Hurink_edata,la26.fjs,1.0351322658323399,1.030060554315979,0.9804276770164915,0.9804276770164915,-0.04963287729948762,secondary_g50_g200,online_minus_ucb_g50,HV_fixed,50
1,Hurink_edata,la34.fjs,0.874345317234509,0.9152528682033626,0.7966959429938885,0.7966959429938885,-0.11855692520947414,secondary_g50_g200,online_minus_ucb_g50,HV_fixed,50
1,Hurink_edata,la37.fjs,1.0562653286959311,1.0872181126596532,1.0649035967559008,1.0649035967559008,-0.02231451590375233,secondary_g50_g200,online_minus_ucb_g50,HV_fixed,50
2,Brandimarte,Mk02.fjs,1.0082827890372168,1.0206571395158197,1.035206191434085,1.035206191434085,0.014549051918265388,secondary_g50_g200,online_minus_ucb_g50,HV_fixed,50
2,Brandimarte,Mk03.fjs,0.8315659106977012,0.8425816407301459,0.9180855356033153,0.9180855356033153,0.07550389487316944,secondary_g50_g200,online_minus_ucb_g50,HV_fixed,50
2,Hurink_edata,la03.fjs,1.1477504236012672,1.1368381790564808,1.0755830339091288,1.0755830339091288,-0.061255145147351975,secondary_g50_g200,online_minus_ucb_g50,HV_fixed,50
2,Hurink_edata,la07.fjs,1.1752354368700093,1.1823566512262902,1.1319171140322306,1.1319171140322306,-0.05043953719405958,secondary_g50_g200,online_minus_ucb_g50,HV_fixed,50
