family,contrast,Budget,lhs,rhs,Fold,n_instances,fold_median_delta,fold_mean_delta,fold_wins,fold_ties,fold_losses
primary_g100,online_minus_ucb_g100,100,XPrePPO_Online_R16,UCBOnly,1,10,-0.0670753736130908,-0.06376008073071118,1,0,9
primary_g100,online_minus_ucb_g100,100,XPrePPO_Online_R16,UCBOnly,2,10,-0.09348693119611018,-0.07974982446617021,1,0,9
primary_g100,online_minus_ucb_g100,100,XPrePPO_Online_R16,UCBOnly,3,10,-0.09309367719414402,-0.0734256572356726,2,0,8
primary_g100,online_minus_ucb_g100,100,XPrePPO_Online_R16,UCBOnly,4,10,-0.10519583170957997,-0.11976500679799643,0,0,10
primary_g100,online_minus_ucb_g100,100,XPrePPO_Online_R16,UCBOnly,5,10,-0.0711432756678137,-0.061916987667882895,2,0,8
primary_g100,online_minus_scratch_g100,100,XPrePPO_Online_R16,ScratchNoBC_R16,1,10,-0.059379411359112066,-0.04802959834737168,2,0,8
primary_g100,online_minus_scratch_g100,100,XPrePPO_Online_R16,ScratchNoBC_R16,2,10,-0.10211197871644451,-0.08672253571822751,1,0,9
primary_g100,online_minus_scratch_g100,100,XPrePPO_Online_R16,ScratchNoBC_R16,3,10,-0.0941836347182039,-0.0687484012235135,2,0,8
primary_g100,online_minus_scratch_g100,100,XPrePPO_Online_R16,ScratchNoBC_R16,4,10,-0.1035584534606031,-0.1033356234788962,1,0,9
primary_g100,online_minus_scratch_g100,100,XPrePPO_Online_R16,ScratchNoBC_R16,5,10,-0.06240989941246844,-0.049623557002097904,2,0,8
secondary_g50_g200,online_minus_ucb_g50,50,XPrePPO_Online_R16,UCBOnly,1,10,-0.037717940675833006,-0.03653631946777044,2,0,8
secondary_g50_g200,online_minus_ucb_g50,50,XPrePPO_Online_R16,UCBOnly,2,10,-0.0539278263555808,-0.04587251933606792,2,0,8
secondary_g50_g200,online_minus_ucb_g50,50,XPrePPO_Online_R16,UCBOnly,3,10,-0.07434784989695126,-0.04846458640760877,2,0,8
secondary_g50_g200,online_minus_ucb_g50,50,XPrePPO_Online_R16,UCBOnly,4,10,-0.042561887564156464,-0.03610567545530076,2,0,8
secondary_g50_g200,online_minus_ucb_g50,50,XPrePPO_Online_R16,UCBOnly,5,10,-0.03961151541282987,-0.03038425042970565,2,0,8
secondary_g50_g200,online_minus_scratch_g50,50,XPrePPO_Online_R16,ScratchNoBC_R16,1,10,-0.04059258203223903,-0.02990310519661783,3,0,7
secondary_g50_g200,online_minus_scratch_g50,50,XPrePPO_Online_R16,ScratchNoBC_R16,2,10,-0.049523757869549045,-0.035625442579439906,2,0,8
secondary_g50_g200,online_minus_scratch_g50,50,XPrePPO_Online_R16,ScratchNoBC_R16,3,10,-0.07539190229958925,-0.04674214158413077,2,0,8
secondary_g50_g200,online_minus_scratch_g50,50,XPrePPO_Online_R16,ScratchNoBC_R16,4,10,-0.030459168364083522,-0.026695302282259793,3,0,7
secondary_g50_g200,online_minus_scratch_g50,50,XPrePPO_Online_R16,ScratchNoBC_R16,5,10,-0.029856317464534654,-0.012461014360673294,3,0,7
secondary_g50_g200,online_minus_ucb_g200,200,XPrePPO_Online_R16,UCBOnly,1,10,-0.13703367260518257,-0.14313855397233738,0,0,10
secondary_g50_g200,online_minus_ucb_g200,200,XPrePPO_Online_R16,UCBOnly,2,10,-0.16224559283911133,-0.17132196135786718,1,0,9
secondary_g50_g200,online_minus_ucb_g200,200,XPrePPO_Online_R16,UCBOnly,3,10,-0.1725476750242152,-0.14781662802469958,1,0,9
secondary_g50_g200,online_minus_ucb_g200,200,XPrePPO_Online_R16,UCBOnly,4,10,-0.21994282948646932,-0.21955945894611636,0,0,10
secondary_g50_g200,online_minus_ucb_g200,200,XPrePPO_Online_R16,UCBOnly,5,10,-0.1307099317596645,-0.15697269295789323,1,0,9
secondary_g50_g200,online_minus_scratch_g200,200,XPrePPO_Online_R16,ScratchNoBC_R16,1,10,-0.13962788138426024,-0.14007444536316277,0,0,10
secondary_g50_g200,online_minus_scratch_g200,200,XPrePPO_Online_R16,ScratchNoBC_R16,2,10,-0.15909860657139008,-0.16647526777872892,1,0,9
secondary_g50_g200,online_minus_scratch_g200,200,XPrePPO_Online_R16,ScratchNoBC_R16,3,10,-0.18956717583582366,-0.16032931246733856,1,0,9
secondary_g50_g200,online_minus_scratch_g200,200,XPrePPO_Online_R16,ScratchNoBC_R16,4,10,-0.2162001529545829,-0.21884772586860235,0,0,10
secondary_g50_g200,online_minus_scratch_g200,200,XPrePPO_Online_R16,ScratchNoBC_R16,5,10,-0.1352014399343311,-0.15162493829751322,1,0,9
mechanism_online_frozen,online_minus_frozen_g50,50,XPrePPO_Online_R16,XPrePPO_Frozen,1,10,0.0,0.0,0,10,0
mechanism_online_frozen,online_minus_frozen_g50,50,XPrePPO_Online_R16,XPrePPO_Frozen,2,10,0.0,0.0,0,10,0
mechanism_online_frozen,online_minus_frozen_g50,50,XPrePPO_Online_R16,XPrePPO_Frozen,3,10,0.0,0.0,0,10,0
mechanism_online_frozen,online_minus_frozen_g50,50,XPrePPO_Online_R16,XPrePPO_Frozen,4,10,0.0,-0.00020442861880658468,0,9,1
mechanism_online_frozen,online_minus_frozen_g50,50,XPrePPO_Online_R16,XPrePPO_Frozen,5,10,0.0,0.0,0,10,0
mechanism_online_frozen,online_minus_frozen_g100,100,XPrePPO_Online_R16,XPrePPO_Frozen,1,10,0.0,0.0012861569718424781,3,5,2
mechanism_online_frozen,online_minus_frozen_g100,100,XPrePPO_Online_R16,XPrePPO_Frozen,2,10,0.0,2.182494714716432e-05,1,7,2
mechanism_online_frozen,online_minus_frozen_g100,100,XPrePPO_Online_R16,XPrePPO_Frozen,3,10,0.001070533295276288,0.0015938774634257301,6,2,2
mechanism_online_frozen,online_minus_frozen_g100,100,XPrePPO_Online_R16,XPrePPO_Frozen,4,10,-0.000831875760909595,0.0014992910426707916,4,1,5
mechanism_online_frozen,online_minus_frozen_g100,100,XPrePPO_Online_R16,XPrePPO_Frozen,5,10,0.0,-0.0014668959363127398,1,5,4
mechanism_online_frozen,online_minus_frozen_g200,200,XPrePPO_Online_R16,XPrePPO_Frozen,1,10,0.006645763793162063,0.0025399738164000652,6,0,4
mechanism_online_frozen,online_minus_frozen_g200,200,XPrePPO_Online_R16,XPrePPO_Frozen,2,10,-0.00500294332106449,-0.009602382214193272,3,0,7
mechanism_online_frozen,online_minus_frozen_g200,200,XPrePPO_Online_R16,XPrePPO_Frozen,3,10,0.0012892245327739138,0.0008063813432317324,6,0,4
mechanism_online_frozen,online_minus_frozen_g200,200,XPrePPO_Online_R16,XPrePPO_Frozen,4,10,0.0013903945108621474,0.00516157572666337,6,0,4
mechanism_online_frozen,online_minus_frozen_g200,200,XPrePPO_Online_R16,XPrePPO_Frozen,5,10,-0.004344240979706537,-0.01551063538833367,5,0,5

